월(Monthly),시도명,시군구,승용_관용,승용_자가용,승용_영업용,승용_합계,승합_관용,승합_자가용,승합_업무용,승합_합계,화물_관용,화물_자가용,화물_영업용,화물_합계,특수_관용,특수_자가용,특수영업용,특수_합계,총계_관용,총계_자가용,총계_영업용,총계_합계
21-Apr,Seoul,계,"4,454","2,589,024","123,707","2,717,185","3,688","85,183","15,230","104,101","3,911","266,514","58,164","328,589",368,"3,842","4,990","9,200","12,421","2,944,563","202,091","3,159,075"
21-Apr,Busan,계,"1,635","1,112,514","87,229","1,201,378","1,260","33,924","6,023","41,207","1,595","150,984","33,906","186,485",137,"2,106","8,923","11,166","4,627","1,299,528","136,081","1,440,236"
21-Apr,Daegu,계,968,"1,000,968","25,795","1,027,731",885,"25,238","3,946","30,069","1,352","137,527","19,309","158,188",120,"1,639","2,109","3,868","3,325","1,165,372","51,159","1,219,856"
21-Apr,Incheon,계,"1,508","1,130,334","292,799","1,424,641","1,056","36,147","10,601","47,804","1,321","160,921","31,769","194,011",116,"2,394","5,347","7,857","4,001","1,329,796","340,516","1,674,313"
21-Apr,Gwangju,계,810,"564,001","14,115","578,926",592,"16,694","2,364","19,650",707,"78,083","13,546","92,336",80,"1,190","1,829","3,099","2,189","659,968","31,854","694,011"
21-Apr,Daejeon,계,648,"565,318","14,147","580,113",537,"17,393","2,155","20,085",637,"74,445","11,658","86,740",75,"1,204","1,656","2,935","1,897","658,360","29,616","689,873"
21-Apr,Ulsan,계,698,"481,163","7,963","489,824",447,"11,978","1,916","14,341",643,"61,332","9,463","71,438",45,874,"2,177","3,096","1,833","555,347","21,519","578,699"
21-Apr,Sejong,계,321,"156,121",654,"157,096",183,"3,713",459,"4,355",241,"14,869","1,642","16,752",50,339,170,559,795,"175,042","2,925","178,762"
21-Apr,Gyeonggi,계,"7,285","4,954,640","70,246","5,032,171","4,211","165,249","32,032","201,492","5,578","691,654","118,673","815,905",557,"10,730","11,433","22,720","17,631","5,822,273","232,384","6,072,288"
21-Apr,Gangwon,계,"1,824","609,435","11,695","622,954","1,578","23,580","3,105","28,263","2,481","148,792","8,594","159,867",184,"1,891","1,763","3,838","6,067","783,698","25,157","814,922"
