"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20250301","장항선","탕정","1638","1517","20250304",""
"20250301","장항선","배방","1165","1141","20250304",""
"20250301","장항선","온양온천","5769","5961","20250304",""
"20250301","장항선","신창(순천향대)","1913","1129","20250304",""
"20250301","중앙선","회기","21152","19411","20250304",""
"20250301","중앙선","중랑","4536","4359","20250304",""
"20250301","중앙선","상봉","5179","5013","20250304",""
"20250301","중앙선","망우","6854","6790","20250304",""
"20250301","중앙선","양원","1989","1979","20250304",""
"20250301","중앙선","구리","6970","7448","20250304",""
"20250301","중앙선","도농","7579","7110","20250304",""
"20250301","중앙선","양정","515","423","20250304",""
"20250301","중앙선","덕소","4810","4794","20250304",""
"20250301","중앙선","도심","1832","1502","20250304",""
"20250301","중앙선","팔당","1194","1197","20250304",""
"20250301","중앙선","운길산","855","941","20250304",""
"20250301","우이신설선","솔샘","4155","3641","20250304",""
"20250301","우이신설선","화계","2823","2632","20250304",""
"20250301","우이신설선","삼양","1910","1867","20250304",""
"20250301","우이신설선","삼양사거리","2089","1959","20250304",""
"20250301","중앙선","지평","59","85","20250304",""
"20250301","중앙선","용문","2058","2227","20250304",""
"20250301","중앙선","원덕","408","441","20250304",""
"20250301","중앙선","양평","3056","3417","20250304",""
"20250301","중앙선","오빈","325","318","20250304",""
"20250301","중앙선","아신","511","540","20250304",""
"20250301","중앙선","국수","651","631","20250304",""
"20250301","중앙선","신원","278","251","20250304",""
"20250301","중앙선","양수","2125","2174","20250304",""
"20250301","1호선","서울역","78149","69951","20250304",""
"20250301","1호선","시청","54123","59070","20250304",""
"20250301","1호선","종각","52059","41200","20250304",""
"20250301","1호선","종로3가","37997","32828","20250304",""
"20250301","1호선","종로5가","26931","25805","20250304",""
"20250301","1호선","동대문","13833","13683","20250304",""
"20250301","1호선","신설동","11552","11095","20250304",""
"20250301","1호선","제기동","16494","17512","20250304",""
"20250301","1호선","청량리(서울시립대입구)","23566","23626","20250304",""
"20250301","1호선","동묘앞","14471","15834","20250304",""
"20250301","2호선","시청","28953","22435","20250304",""
"20250301","2호선","을지로입구","45117","38308","20250304",""
"20250301","2호선","을지로3가","19244","16680","20250304",""
"20250301","2호선","을지로4가","10669","10784","20250304",""
"20250301","2호선","동대문역사문화공원(DDP)","15225","17498","20250304",""
"20250301","2호선","신당","13046","14011","20250304",""
"20250301","2호선","상왕십리","10270","9624","20250304",""
"20250301","2호선","왕십리(성동구청)","12936","12953","20250304",""
"20250301","2호선","한양대","4102","4192","20250304",""
"20250301","2호선","뚝섬","18665","18128","20250304",""
"20250301","2호선","성수","41321","45836","20250304",""
"20250301","2호선","건대입구","36715","38594","20250304",""
"20250301","2호선","구의(광진구청)","18036","17004","20250304",""
"20250301","2호선","강변(동서울터미널)","27980","28750","20250304",""
"20250301","2호선","잠실나루","7970","7718","20250304",""
"20250301","2호선","잠실(송파구청)","80835","78523","20250304",""
"20250301","2호선","잠실새내","17825","18075","20250304",""
"20250301","2호선","종합운동장","5865","6402","20250304",""
"20250301","2호선","삼성(무역센터)","38095","37953","20250304",""
"20250301","2호선","선릉","24399","21445","20250304",""
"20250301","2호선","역삼","16235","18272","20250304",""
"20250301","2호선","강남","49768","50633","20250304",""
"20250301","2호선","교대(법원.검찰청)","14077","17517","20250304",""
"20250301","2호선","서초","11615","10225","20250304",""
"20250301","2호선","방배","8551","8714","20250304",""
"20250301","2호선","사당","35209","38196","20250304",""
"20250301","2호선","낙성대(강감찬)","21734","19254","20250304",""
"20250301","2호선","서울대입구(관악구청)","36039","34123","20250304",""
"20250301","2호선","봉천","18037","16072","20250304",""
"20250301","2호선","신림","45256","43492","20250304",""
"20250301","2호선","신대방","20441","18828","20250304",""
"20250301","2호선","구로디지털단지","36720","35609","20250304",""
"20250301","2호선","대림(구로구청)","19059","20105","20250304",""
"20250301","2호선","신도림","45543","44912","20250304",""
"20250301","2호선","문래","14787","15908","20250304",""
"20250301","2호선","영등포구청","13436","14143","20250304",""
"20250301","2호선","당산","13707","14720","20250304",""
"20250301","2호선","합정","31316","35968","20250304",""
"20250301","2호선","홍대입구","86912","99555","20250304",""
